"MRY","Rhinoptera jayakari"
"MRM","Rhinoptera marginata"
"MRN","Rhinoptera neglecta"
"MRS","Rhinoptera steindachneri"
"NZX","Rhinoptera spp"
"RYM","Aetomylaeus maculatus"
"RYV","Aetomylaeus milvus"
"RYH","Aetomylaeus niehofii"
"RYE","Aetomylaeus vespertilio"
"RJX","Aetomylaeus spp"
"EAG","Myliobatidae"
"RMA","Manta alfredi"
"RMB","Manta birostris"
"MNT","Manta spp"
"RMC","Mobula coilloti"
"RME","Mobula eregoodootenkee"
"RMH","Mobula hypostoma"
"RMJ","Mobula japanica"
"RMK","Mobula kuhlii"
"RMM","Mobula mobular"
"RMU","Mobula munkiana"
"RMR","Mobula robertsi"
"RMN","Mobula rochebrunei"
"RMT","Mobula tarapacana"
"RMO","Mobula thurstoni"
"RMV","Mobula spp"
"MAN","Mobulidae"
"RGL","Gymnura altavela"
"RGU","Gymnura australis"
"RGC","Gymnura crebripunctata"
"RGJ","Gymnura japonica"
"RGM","Gymnura marmorata"
"RGI","Gymnura micrura"
"RGP","Gymnura poecilura"
"RGT","Gymnura tentaculata"
"RGZ","Gymnura zonura"
"QPI","Gymnura natalensis"
"RBY","Gymnura spp"
"HHB","Hexatrygon bickelli"
"HHL","Hexatrygon longirostra"
"RTJ","Trygonoptera javanica"
"RTK","Trygonoptera kaiana"
"RTU","Trygonoptera mucosa"
"RTO","Trygonoptera ovalis"
"RTP","Trygonoptera personata"
"RUR","Urolophus armatus"
"RUU","Urolophus aurantiacus"
"RUC","Urolophus bucculentus"
"RUI","Urolophus circularis"
"RUO","Urolophus concentricus"
"RUT","Urolophus cruciatus"
"RUE","Urolophus expansus"
"RUV","Urolophus flavomosaicus"
"RUG","Urolophus gigas"
"RUH","Urolophus halleri"
"RUJ","Urolophus jamaicensis"
"RUL","Urolophus lobatus"
"RUM","Urolophus maculatus"
"RUK","Urolophus mitosis"
"RUQ","Urolophus orarius"
"RUP","Urolophus paucimaculatus"
"RUX","Urolophus sufflavus"
"RUY","Urolophus testaceus"
"RUZ","Urolophus viridis"
"RUW","Urolophus westraliensis"
"RVX","Urolophus spp"
"JUA","Urotrygon aspidura"
"JUC","Urotrygon chilensis"
"JUM","Urotrygon microphthalmum"
"JUU","Urotrygon munda"
